dynamics,label,L,seed,repeat,noise_mode,noise_std,n_samples,sample_count_mode,reference_l,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,identity,0.5,20260429,0,fixed,0.05,512,fixed_density,4.0,1,1,null,0.001298510542483949,{}
identity,identity,0.5,20260429,0,fixed,0.05,512,fixed_density,4.0,1,1,identity,1.1600977467274416,"{""projection"": [[1.0]]}"
identity,identity,0.5,20260429,0,fixed,0.05,512,fixed_density,4.0,1,1,gain_matched,1.1358508930285036,"{""gain_matrix"": [[0.9999999999999994]]}"
identity,identity,0.5,20260429,0,fixed,0.05,512,fixed_density,4.0,1,1,variance_matched,1.1229848688855864,"{""direction"": [1.0]}"
identity,identity,0.5,20260429,0,fixed,0.05,512,fixed_density,4.0,1,1,shuffled_target,0.001938056786257304,{}
identity,identity,0.5,20260429,0,fixed,0.05,512,fixed_density,4.0,1,1,analytic_volume,-0.6931471805599453,"{""source_dim"": 1}"
identity,identity,0.5,20260446,1,fixed,0.05,512,fixed_density,4.0,1,1,null,-0.0007886591294281719,{}
identity,identity,0.5,20260446,1,fixed,0.05,512,fixed_density,4.0,1,1,identity,1.1227145975945996,"{""projection"": [[1.0]]}"
identity,identity,0.5,20260446,1,fixed,0.05,512,fixed_density,4.0,1,1,gain_matched,1.1606077009494493,"{""gain_matrix"": [[1.0000000000000013]]}"
identity,identity,0.5,20260446,1,fixed,0.05,512,fixed_density,4.0,1,1,variance_matched,1.131169455056023,"{""direction"": [1.0]}"
identity,identity,0.5,20260446,1,fixed,0.05,512,fixed_density,4.0,1,1,shuffled_target,-0.0020377231155526343,{}
identity,identity,0.5,20260446,1,fixed,0.05,512,fixed_density,4.0,1,1,analytic_volume,-0.6931471805599453,"{""source_dim"": 1}"
identity,identity,0.5,20260463,2,fixed,0.05,512,fixed_density,4.0,1,1,null,-0.0005463669984826069,{}
identity,identity,0.5,20260463,2,fixed,0.05,512,fixed_density,4.0,1,1,identity,1.1143247771708737,"{""projection"": [[1.0]]}"
identity,identity,0.5,20260463,2,fixed,0.05,512,fixed_density,4.0,1,1,gain_matched,1.1105681030067536,"{""gain_matrix"": [[1.0000000000000016]]}"
identity,identity,0.5,20260463,2,fixed,0.05,512,fixed_density,4.0,1,1,variance_matched,1.1616496003024315,"{""direction"": [1.0]}"
identity,identity,0.5,20260463,2,fixed,0.05,512,fixed_density,4.0,1,1,shuffled_target,-0.0010945606151912992,{}
identity,identity,0.5,20260463,2,fixed,0.05,512,fixed_density,4.0,1,1,analytic_volume,-0.6931471805599453,"{""source_dim"": 1}"
